ProgramAdministrator,ProgramName,FuelType,Sector,"NetFuelSavingAcquired,MWh",Success,Predicted
New York State Energy Research and Development Authority,New York Energy Star Homes,Electric,Residential,2826.65,0,0
New York State Energy Research and Development Authority,New York Energy Star Homes,Gas,Residential,11043.4461558,0,0
New York State Energy Research and Development Authority,CFL Expansion Program,Electric,Residential,992099.27,1,0
New York State Energy Research and Development Authority,EmPower New York Program,Electric,Residential,260.737,0,0
New York State Energy Research and Development Authority,EmPower New York Program,Gas,Residential,213392.5432968,0,0
New York State Energy Research and Development Authority,EmPower New York Program,Electric,Residential,60351.8,0,0
New York State Energy Research and Development Authority,Existing Facilities Program,Electric,Commercial,9.018,0,0
New York State Energy Research and Development Authority,Existing Facilities Program,Gas,Commercial,714.7918686,0,0
New York State Energy Research and Development Authority,Existing Facilities Program,Electric,Commercial,682175.78,0,0
New York State Energy Research and Development Authority,Existing Facilities Program,Gas,Commercial,140166.5068404,0,0
New York State Energy Research and Development Authority,FlexTech Expansion Program,Electric,Commercial,944975.26,0,0
New York State Energy Research and Development Authority,Flex Tech Program,Electric,Commercial,5201.66,0,0
New York State Energy Research and Development Authority,Flex Tech Program,Gas,Commercial,221790.0069576,0,0
New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,1134.91,0,0
New York State Energy Research and Development Authority,Home Performance with Energy Star,Gas,Residential,490.6196949,0,0
New York State Energy Research and Development Authority,Home Performance with Energy Star,Electric,Residential,5055.71,0,0
New York State Energy Research and Development Authority,Home Performance with Energy Star,Gas,Residential,136037.84804699998,0,0
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Electric,Commercial,942591.44,1,0
New York State Energy Research and Development Authority,Industrial & Process Efficiency Program,Gas,Commercial,781076.3809179,1,0
New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Electric,Multi-Family,779.987,1,1
New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Electric,Multi-Family,95914.13,1,1
New York State Energy Research and Development Authority,Low-Income Multifamily Performance Program,Gas,Multi-Family,327109.13681460003,1,1
New York State Energy Research and Development Authority,Multifamily Performance Program,Gas,Multi-Family,6340.628064,0,0
New York State Energy Research and Development Authority,Multifamily Performance Program,Electric,Multi-Family,37170.13,0,0
New York State Energy Research and Development Authority,Multifamily Performance Program,Gas,Multi-Family,165156.0992442,0,0
New York State Energy Research and Development Authority,New Construction Program,Electric,Commercial,12.447,1,0
New York State Energy Research and Development Authority,New Construction Program,Gas,Commercial,227830.4668662,1,0
New York State Energy Research and Development Authority,New Construction Program,Electric,Commercial,389590.39,1,0
New York State Energy Research and Development Authority,New Construction Program,Gas,Commercial,140963.2850415,1,0
New York State Energy Research and Development Authority,New York Energy Star Homes,Gas,Residential,148750.2633774,0,0
New York State Energy Research and Development Authority,New York Energy Star Homes,Electric,Residential,20719.16,0,0
Niagara Mohawk Power Corporation,Commercial High-Eff. Heating and Water Heating,Gas,Commercial,10255.1581926,1,1
Niagara Mohawk Power Corporation,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,157568.059755,1,1
Niagara Mohawk Power Corporation,Energy Initiative - Commercial & Industrial Electric Program,Electric,Commercial,406583.95,1,1
Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Electric,Commercial,43778.41,1,1
Niagara Mohawk Power Corporation,Energy Initiative Program - Large Industrial,Gas,Commercial,17747.047276200003,1,1
Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Electric,Commercial,108660.32,1,1
Niagara Mohawk Power Corporation,Energy Initiative Program - Mid-Size C&I,Gas,Commercial,17392.9806171,1,1
Niagara Mohawk Power Corporation,Energy Wise Program,Electric,Multi-Family,33500.44,1,1
Niagara Mohawk Power Corporation,Energy Wise Program,Gas,Multi-Family,42798.87602519999,1,1
Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Electric,Residential,108.326,1,1
Niagara Mohawk Power Corporation,Enhanced Home Sealing Incentives Program,Gas,Residential,2349.5099523,1,1
Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Electric,Residential,181091.55,1,1
Niagara Mohawk Power Corporation,Residential Building Practices and Demonstration,Gas,Residential,296659.3250031,1,1
Niagara Mohawk Power Corporation,Residential Energy Star Products and Recycling,Electric,Residential,57917.08,1,1
Niagara Mohawk Power Corporation,Residential Energy Star Products Program,Gas,Residential,2315.2998912,1,1
Niagara Mohawk Power Corporation,"Residential High Efficiency Heating, Water Heating & Controls Program",Gas,Residential,146904.7986567,1,1
Niagara Mohawk Power Corporation,Residential HVAC Program,Electric,Residential,1345.25,1,1
Niagara Mohawk Power Corporation,Residential HVAC Program,Gas,Residential,214424.0002311,1,1
Niagara Mohawk Power Corporation,Small Business Direct Install Program,Electric,Commercial,609718.51,1,1
"Orange and Rockland Utilities, Inc.",Commercial Existing Buildings Program,Electric,Commercial,48462.92,1,0
"Orange and Rockland Utilities, Inc.",Residential Efficient Products Program,Electric,Residential,12349.26,0,0
"Orange and Rockland Utilities, Inc.",Residential HVAC,Electric,Residential,51.193,0,0
"Orange and Rockland Utilities, Inc.",Residential HVAC Program,Electric,Residential,287.224,0,0
"Orange and Rockland Utilities, Inc.",Residential HVAC Program,Gas,Residential,26721.419232,0,0
"Orange and Rockland Utilities, Inc.",Small Business Direct Install Program,Electric,Commercial,39683.54,1,0
Rochester Gas and Electric Corporation,Block Bidding Program,Electric,Commercial,11595.37,0,0
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Electric,Commercial,2459.03,0,0
Rochester Gas and Electric Corporation,C&I Custom Rebate Program,Gas,Commercial,145.36242693,0,0
Rochester Gas and Electric Corporation,C&I Electric Program,Electric,Commercial,56619.53,0,0
Rochester Gas and Electric Corporation,C&I Gas Program,Gas,Commercial,18923.3950878,0,0
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Electric,Commercial,871.54,0,0
Rochester Gas and Electric Corporation,C&I Prescriptive Rebate Program,Gas,Commercial,6992.445051,0,0
Rochester Gas and Electric Corporation,Energy Saver Program,Gas,Residential,2969.355933,1,0
Rochester Gas and Electric Corporation,Multifamily Program,Electric,Multi-Family,17841.12,1,1
Rochester Gas and Electric Corporation,Refrigerator and Freezer Recycling Program,Electric,Residential,41974.93,1,0
Rochester Gas and Electric Corporation,Residential HVAC Program,Electric,Residential,13782.24,1,0
Rochester Gas and Electric Corporation,Residential HVAC Program,Gas,Residential,246025.5009444,1,0
Rochester Gas and Electric Corporation,Small Business Direct Install Program,Electric,Commercial,63984.18,0,0
"St. Lawrence Gas Company, Inc.",Residential Gas HVAC Program,Gas,Residential,6886.8255537,0,0
"St. Lawrence Gas Company, Inc.",Small Commercial HVAC Program,Gas,Commercial,1407.1081989000002,0,0
The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial Energy Efficiency Program,Gas,Commercial,21946.6788315,1,0
The Brooklyn Union Gas Company d/b/a National Grid NY,Commercial & Industrial Gas Energy Efficiency Program,Gas,Commercial,167785.2858975,1,1
The Brooklyn Union Gas Company d/b/a National Grid NY,Enhanced Home Sealing Incentives Program,Gas,Residential,1170.9172245,0,0
The Brooklyn Union Gas Company d/b/a National Grid NY,Large Industrial Energy Efficiency Program,Gas,Commercial,46105.4177853,1,0
The Brooklyn Union Gas Company d/b/a National Grid NY,Multifamily Energy Efficiency Program,Gas,Multi-Family,70243.9114635,1,1
The Brooklyn Union Gas Company d/b/a National Grid NY,Residential Energy Star Products Program,Gas,Residential,466.3124691,0,0
The Brooklyn Union Gas Company d/b/a National Grid NY,"Residential High Efficiency Heating, Water Heating & Controls Program",Gas,Residential,22512.0284457,0,0
The Brooklyn Union Gas Company d/b/a National Grid NY,Residential HVAC Program,Gas,Residential,31544.7154701,0,0
Central Hudson Gas & Electric Corporation,Home Energy Reporting,Electric,Residential,74836.28,1,1
Central Hudson Gas & Electric Corporation,Home Energy Reporting,Gas,Residential,28442.6662332,1,1
Central Hudson Gas & Electric Corporation,Mid-Size Commercial Business Program,Electric,Commercial,35711.02,0,0
Central Hudson Gas & Electric Corporation,Residential Appliance Recycling Program,Electric,Residential,19562.37,1,0
Central Hudson Gas & Electric Corporation,Residential HVAC Program,Electric,Residential,125.68,1,0
Central Hudson Gas & Electric Corporation,Residential HVAC Program,Electric,Residential,8083.9,1,0
Central Hudson Gas & Electric Corporation,Residential HVAC Program,Gas,Residential,17984.8940961,1,0
Central Hudson Gas & Electric Corporation,Small and Mid-Size Commercial Buildings,Electric,Commercial,16.28,0,0
Central Hudson Gas & Electric Corporation,Small and Mid-Size Commercial Buildings,Gas,Commercial,3438.3734382,0,0
Central Hudson Gas & Electric Corporation,Small Business Direct Install Program,Electric,Commercial,90577.44,0,0
"Consolidated Edison Company of New York, Inc.",Appliance Bounty Program,Electric,Residential,17402.2,0,0
"Consolidated Edison Company of New York, Inc.",C&I Custom Efficiency Program,Electric,Commercial,241090.03,1,0
